,Temp2m,RH,windspeed,windquad,UHIp2m,UTFVI2m,windquad_cat
10165,28.47945556640628,0.5036012281409412,13.880813364807725,5.0,forte,0.0102934511244249,Quinto
10306,29.744958496093773,0.4973431753311846,10.879946689062532,7.0,forte,0.0123569931221122,Sétimo
10310,28.57076416015628,0.5058925626904995,8.004682614101217,7.0,forte,0.0101921557740968,Sétimo
10311,27.670495605468773,0.5130341117080972,5.493171735620862,6.0,forte,0.0117384507176287,Sexto
10312,26.65035400390628,0.5280986092966891,3.1074425967512824,5.0,forte,0.0100303519717851,Quinto
10359,29.01485595703128,0.4632102370644039,3.4287409133546056,1.0,extremo,0.0214454100738959,Primeiro
10448,23.931237792968773,0.4927034869481832,13.149885921181177,5.0,forte,0.0104358861573013,Quinto
10451,24.413964843750023,0.4901631419437142,14.680981572447296,5.0,forte,0.0100444803170202,Quinto
10510,25.144952392578148,0.4902685547194153,3.1937628488463132,5.0,muito_forte,0.0191297752738981,Quinto
10647,27.828424072265648,0.482199251791075,3.1860038497965193,2.0,forte,0.0109467221615459,Segundo
10777,29.707543945312523,0.4716126588463186,1.6504017020769375,8.0,forte,0.0116608167450231,Oitavo
10962,24.177758789062523,0.491948073037332,0.6926185993044435,7.0,muito_forte,0.0189366762759301,Sétimo
11054,27.547387695312523,0.5143423368934128,11.4837707729156,5.0,forte,0.0103335875388194,Quinto
11124,22.0598083496094,0.4947940573722469,2.6380134836881353,5.0,extremo,0.0247829860443786,Quinto
11129,21.801934814453148,0.4957964860648706,2.8620114856283476,7.0,muito_forte,0.0198671558452539,Sétimo
11273,16.771508789062523,0.489564633056589,3.1053281946403217,4.0,extremo,0.0275974489424059,Quarto
11274,16.851220703125023,0.4883132404628628,1.8115548916576822,4.0,muito_forte,0.0180256346042861,Quarto
11370,27.931451416015648,0.4700276935496232,2.630010618921108,4.0,extremo,0.0233174154484681,Quarto
11371,27.75264892578128,0.4718521873820016,2.004846771276756,4.0,extremo,0.0228535076964726,Quarto
11372,27.374047851562523,0.4752236266652121,1.379320371186799,4.0,muito_forte,0.0188421925855329,Quarto
11672,29.065576171875023,0.5016613557087504,7.512548533520292,8.0,forte,0.0122806112910785,Oitavo
11678,29.4169860839844,0.4977277167226581,5.957484249829362,6.0,forte,0.011919186406132,Sexto
12067,23.579034423828148,0.5394083941164708,1.7876383291294333,5.0,forte,0.0132639962218279,Quinto
12068,23.31343994140628,0.5410595658790465,1.8614726370344803,6.0,forte,0.0116786014340606,Sexto
12069,23.178979492187523,0.5415483706891505,2.006352823148208,5.0,muito_forte,0.0153249590181872,Quinto
12070,23.06417236328128,0.5421155856142841,2.1261864442920113,6.0,forte,0.0123745924362537,Sexto
12139,24.113946533203148,0.4933360084075687,5.93580322494384,1.0,forte,0.0108034885500077,Primeiro
12354,21.51802978515628,0.5244514515591289,3.416183480036877,5.0,forte,0.0119207464133583,Quinto
12420,18.010583496093773,0.4979935048920088,2.8217583727517592,4.0,extremo,0.0235134750617422,Quarto
12505,30.062158203125023,0.4708158275987377,1.9763330917993278,6.0,forte,0.012899805134693,Sexto
12517,34.5491882324219,0.4433613142367074,8.846611552544038,8.0,forte,0.0126045422686528,Oitavo
12650,18.481500244140648,0.5340760944167043,2.1280922294553375,6.0,forte,0.0143524971364694,Sexto
12667,19.687646484375023,0.5258526610753247,3.483944830531299,5.0,muito_forte,0.0199889125610638,Quinto
12668,19.74801025390628,0.5249931955235564,2.720017726639976,5.0,extremo,0.0232142052971412,Quinto
12669,19.34542236328128,0.5281766748602604,2.3321932094010958,5.0,extremo,0.0230873071638575,Quinto
12670,19.037469482421898,0.5304770733442393,2.063196796438731,5.0,muito_forte,0.0192390547814036,Quinto
12671,18.711938476562523,0.5325824047230013,2.336015460466058,6.0,muito_forte,0.0188523805581378,Sexto
12743,20.643853759765648,0.4787605698127452,8.725083325483881,1.0,forte,0.0104526625534459,Primeiro
12876,26.714013671875023,0.5129935239417304,1.7845706918091238,5.0,forte,0.0148756633783241,Quinto
12914,17.902032470703148,0.5331001799090863,4.502155890100123,5.0,forte,0.0106931627192758,Quinto
12934,18.636010742187523,0.5307897690788056,4.367438574399535,5.0,forte,0.0107330487024195,Quinto
12935,18.359399414062523,0.531477416168513,4.2636692468248025,5.0,forte,0.0130166137544684,Quinto
12938,20.273217773437523,0.5328082261193927,2.9154597948177945,5.0,forte,0.0147779000455179,Quinto
12948,22.471032714843773,0.5180862767490539,4.35517668454288,5.0,forte,0.0126343654465426,Quinto
12959,20.454187011718773,0.5315040597565982,3.1414245136876096,5.0,muito_forte,0.0151459681119063,Quinto
13004,19.697198486328148,0.5394625440654621,21.16745739212445,5.0,muito_forte,0.0168403394554551,Quinto
13026,25.34713134765628,0.4566129548495329,8.770594454478484,2.0,forte,0.0100711421635915,Segundo
13129,29.10079345703128,0.5028315521897592,2.8792030581186796,1.0,forte,0.0146831924664761,Primeiro
13169,25.3339782714844,0.5298524776624363,2.683031870039954,5.0,forte,0.0123244962984337,Quinto
13212,21.563562011718773,0.5195886856835498,4.7626621154042335,5.0,forte,0.0107506674409295,Quinto
13217,21.415887451171898,0.5192113097759732,4.288238144317305,5.0,muito_forte,0.0164656981876749,Quinto
13218,21.47335205078128,0.5176227751602186,3.6754336327074095,6.0,extremo,0.0212397113603577,Sexto
13219,21.493920898437523,0.5166400761040058,3.0647799683857815,6.0,muito_forte,0.0192979428464362,Sexto
13243,22.559472656250023,0.5186506309982774,3.722785838993247,4.0,muito_forte,0.0173260149779283,Quarto
13244,22.99019775390628,0.5140872885349914,1.9233054708124386,3.0,muito_forte,0.0159581356429694,Terceiro
13296,28.704431152343773,0.4403558552427968,7.371351082605269,2.0,forte,0.01209650939621,Segundo
13335,31.6313415527344,0.4433054874818719,8.107614138712155,5.0,forte,0.0103196794890872,Quinto
13336,29.245538330078148,0.4647379885311599,16.567532403103623,5.0,forte,0.0142030418299844,Quinto
13359,28.103173828125023,0.5083678474266687,4.117385685654932,6.0,forte,0.0105295009297939,Sexto
13360,27.176538085937523,0.5178216680573852,5.189862678344155,7.0,forte,0.0125147892964198,Sétimo
13400,29.851953125000023,0.498023160411396,9.013332756619358,7.0,forte,0.0127719229466844,Sétimo
13481,24.798181152343773,0.5306963802422757,2.806444933824436,4.0,forte,0.0120549308947683,Quarto
13482,24.878991699218773,0.5304099271668936,1.8927238760176868,4.0,forte,0.0122741360865011,Quarto
13506,24.151269531250023,0.517477254392755,2.32767617967433,3.0,forte,0.013717125883038,Terceiro
13579,13.459741210937525,0.512194740215575,4.003219275057231,5.0,muito_forte,0.0173286062364172,Quinto
13580,13.139855957031273,0.5141445970792765,3.7902525158178904,5.0,muito_forte,0.0189441024255301,Quinto
13581,12.794580078125025,0.5166978946285269,3.6840450468994015,5.0,extremo,0.0235456636822989,Quinto
13582,12.173486328125025,0.5214686635987837,4.03104185291962,5.0,muito_forte,0.0150210999427819,Quinto
13583,11.743920898437525,0.524392444253745,4.250020959080178,5.0,forte,0.0104507273223799,Quinto
13610,20.986108398437523,0.5418794163528106,15.772361030431071,5.0,forte,0.0107463181221794,Quinto
13631,21.808007812500023,0.542213462058294,14.755179596075532,5.0,forte,0.0106404035284292,Quinto
13632,26.471276855468773,0.5238182478162202,5.435832572622247,7.0,forte,0.0119142862004893,Sétimo
13953,30.675683593750023,0.4963390354891657,9.613055748604278,5.0,forte,0.011883085803232,Quinto
14055,29.66524658203128,0.4961422492094616,3.2039891462826997,8.0,forte,0.0139618286975779,Oitavo
14056,28.718286132812523,0.4937347354460555,3.4501199844444637,8.0,extremo,0.0209479329999621,Oitavo
14138,16.464807128906273,0.520850018920142,2.5124435300260664,6.0,forte,0.0144334035697619,Sexto
14155,16.728051757812523,0.5202649157401629,4.42595467542042,5.0,forte,0.0102299537763922,Quinto
14157,16.143487548828148,0.5239193694223848,4.147404801002503,5.0,muito_forte,0.0154655571089731,Quinto
14158,16.636071777343773,0.5199213344494666,2.8113773385169276,5.0,extremo,0.0263156474167012,Quinto
14159,16.792047119140648,0.518597266631485,1.874670681548843,6.0,muito_forte,0.016485332841085,Sexto
14296,30.10274658203128,0.4949284144025133,0.9912982953867167,2.0,forte,0.0105295081713213,Segundo
14320,26.652490234375023,0.5238641573759781,6.331902189886305,6.0,forte,0.0106549586386927,Sexto
14328,27.40987548828128,0.5022134851686834,4.04268923382014,1.0,muito_forte,0.0166926607890723,Primeiro
14338,31.594079589843773,0.4761982014387136,8.504207591632499,6.0,forte,0.0145479007236325,Sexto
14341,27.795922851562523,0.5108045379649031,10.831029065612338,5.0,forte,0.0100702696288064,Quinto
14426,19.680352783203148,0.5254069669983703,2.2866008019245725,6.0,extremo,0.0235767617668378,Sexto
14441,22.008874511718773,0.5135228282298542,3.6163187103529677,4.0,extremo,0.0206440711354853,Quarto
14442,21.75460205078128,0.5145597122480596,2.843371954524674,5.0,extremo,0.0263986345418898,Quinto
14443,21.092706298828148,0.5187866212739038,2.9560695195779987,5.0,extremo,0.026110535890108,Quinto
14444,20.476617431640648,0.5225788318356603,2.9966217867843565,6.0,extremo,0.0230056284995844,Sexto
14445,20.015405273437523,0.5244247343303644,3.2496399418892388,6.0,extremo,0.0224915649564172,Sexto
14446,19.732781982421898,0.5259682861634912,3.204709293246219,6.0,extremo,0.0216959678610769,Sexto
14447,19.62032470703128,0.5263834832776024,2.9309519241244706,6.0,extremo,0.0212206832424025,Sexto
14558,30.11153564453128,0.4819034790968779,5.8837923635798015,6.0,forte,0.0127182516912445,Sexto
14569,29.13619384765628,0.5023615040088225,2.5576654940890275,2.0,muito_forte,0.0178835554310309,Segundo
14684,22.11959228515628,0.5338146195896554,2.1509162379391915,3.0,forte,0.0115108631979721,Terceiro
14714,21.044732666015648,0.5186597381523907,2.287709709151254,6.0,extremo,0.024939197295089,Sexto
14715,20.766748046875023,0.5226187058161165,2.40268696104823,6.0,muito_forte,0.015784989627022,Sexto
14730,23.19600830078128,0.5039787310854802,2.5741160929051,4.0,extremo,0.0262151506654007,Quarto
14731,23.075280761718773,0.5042621447451561,1.4830071265795508,6.0,extremo,0.0222418833949806,Sexto
14732,22.457574462890648,0.5088352183566954,2.3954750439799857,7.0,extremo,0.0210304347370685,Sétimo
14733,22.085382080078148,0.5110920232728876,2.0187406865001885,7.0,forte,0.0123899489866779,Sétimo
14734,21.762567138671898,0.5136116555355346,1.8877253267859075,7.0,forte,0.011545855784194,Sétimo
14735,21.432153320312523,0.5159638051264352,1.9112878113039748,7.0,muito_forte,0.0160418400138303,Sétimo
14814,26.583398437500023,0.514272956329904,7.66912075814535,8.0,forte,0.0100603071416121,Oitavo
14816,27.481835937500023,0.510622670661888,5.9383827904974575,8.0,forte,0.0107348732450043,Oitavo
14848,27.250756835937523,0.5130513014882517,7.581632662547793,6.0,muito_forte,0.0153989287108544,Sexto
15255,30.459619140625023,0.4505981445203113,2.320433521365837,1.0,forte,0.0146369453362017,Primeiro
15426,22.710778808593773,0.5347400542476695,3.1936670297090886,4.0,forte,0.011077302850436,Quarto
15427,22.8434997558594,0.5335445953713913,2.3006338698517848,5.0,muito_forte,0.0155338634073774,Quinto
15454,22.791650390625023,0.5402551198508647,2.3408413759794966,6.0,forte,0.0111087499645925,Sexto
15504,27.070703125000023,0.4713196532054898,1.9063517368637033,5.0,extremo,0.0209396876039192,Quinto
15505,26.62496337890628,0.4716981695470243,2.1292816393290885,8.0,forte,0.0146815435798928,Oitavo
15624,26.158380126953148,0.5225777411501416,6.088406452098783,6.0,forte,0.0135082628588236,Sexto
15625,25.640771484375023,0.5277909529124881,3.242757592381313,6.0,forte,0.0120912064492719,Sexto
15636,25.33101806640628,0.5312654762640565,1.6609743424627847,6.0,muito_forte,0.0157545348784548,Sexto
15641,24.923242187500023,0.5333068436229669,2.133977964201509,7.0,forte,0.0131752081911034,Sétimo
15687,29.486962890625023,0.4762507535602897,2.7520830985772413,6.0,forte,0.0128613152131877,Sexto
15688,28.644433593750023,0.4813172910538196,2.0077663510030987,8.0,forte,0.0117637076473286,Oitavo
15696,26.903466796875023,0.4931890510259063,2.6809185578282024,7.0,forte,0.0118915779009574,Sétimo
15732,24.528161621093773,0.480216699461844,3.13320128878107,3.0,extremo,0.023150405951769,Terceiro
15737,24.635522460937523,0.4784879088431584,2.132169122386097,3.0,extremo,0.0243290365804511,Terceiro
15739,23.85054931640628,0.4843176711529837,1.610431493738295,7.0,forte,0.0104059975342688,Sétimo
15740,22.665612792968773,0.494483614454219,3.534780445166876,7.0,forte,0.0142709039112601,Sétimo
15913,26.234490966796898,0.5159576022369526,3.5035001023995807,3.0,forte,0.0108586156530505,Terceiro
15925,30.11422119140628,0.4845793411995976,7.516951604427991,5.0,forte,0.0146984791535146,Quinto
15978,21.33321533203128,0.5254579220373957,3.053112669787356,4.0,forte,0.0131740383828695,Quarto
15986,18.756188964843773,0.5328610741482169,3.148450963195589,6.0,forte,0.0119163600305446,Sexto
16002,21.409753417968773,0.5137783338950876,4.014745577507137,4.0,forte,0.0112042287369816,Quarto
16003,20.968835449218773,0.5167786564462931,3.8143881830497137,5.0,muito_forte,0.0166605127510271,Quinto
16007,19.219110107421898,0.5300287101278478,2.735402910539815,5.0,muito_forte,0.016776640932277,Quinto
16043,29.856866455078148,0.4907003207415379,5.785649078168809,2.0,forte,0.0125347804392934,Segundo
16045,29.823602294921898,0.4864341954813375,3.501129474858584,2.0,forte,0.012498079798746,Segundo
16046,29.437158203125023,0.4903759660303455,4.2137205327117595,7.0,forte,0.0126364441006452,Sétimo
16090,28.10152587890628,0.5098633545464836,7.202163631899048,5.0,forte,0.0104339682766141,Quinto
16191,29.023034667968773,0.496513534165055,0.9424945292851695,3.0,forte,0.011964282880367,Terceiro
16290,25.0219665527344,0.4863125207693367,2.6721488567372265,3.0,muito_forte,0.0183088439824253,Terceiro
16291,24.579888916015648,0.4889972182652586,2.3839665987892054,3.0,extremo,0.0226696870338779,Terceiro
