,skinTemp,RH,windspeed,windquad,UHIp,windquad_cat,surface_pressure
4372,30.92183837890628,0.4972374393858255,19.692955908995767,8,forte,Oitavo,987.944
4375,35.94503173828127,0.4813247377886985,16.009798134698354,8,forte,Oitavo,987.8493
4376,36.69667968750002,0.4795994257189606,15.411605838542922,8,forte,Oitavo,986.8517
4380,25.94942626953128,0.5131336434894409,11.21191606244981,1,muito_forte,Primeiro,986.23836
4385,25.786676025390648,0.513087443641778,12.339570444699518,1,forte,Primeiro,986.27266
4386,25.692010498046898,0.5132543275619671,13.784976189646157,1,forte,Primeiro,986.07234
4387,25.679528808593773,0.51393030656431,13.317209608634675,1,forte,Primeiro,985.43984
4388,25.638330078125023,0.5147204451554735,12.687410724392157,1,forte,Primeiro,985.2049
4514,17.995263671875023,0.5351157763809548,4.707019682070656,5,forte,Quinto,993.5507
4533,19.43355712890628,0.5253155336390386,5.852048855605783,5,forte,Quinto,993.1058
4534,18.9211364746094,0.5290344874043176,5.293877880277071,5,forte,Quinto,992.95836
4535,18.361199951171898,0.532656020607068,5.081336758988463,5,forte,Quinto,993.0702
4640,42.65920410156252,0.4668056159646513,6.728169986482628,8,forte,Oitavo,988.057
4664,32.65493164062502,0.5029893017351689,14.40953182709057,7,forte,Sétimo,986.3411
4665,33.51046142578127,0.4990017126795186,13.60320494381505,7,muito_forte,Sétimo,985.2361
4666,34.01885375976565,0.4945245322981786,12.679666082633823,7,forte,Sétimo,983.8478
4667,32.18731079101565,0.499848407917674,12.52116252295862,8,forte,Oitavo,984.1419
4669,30.004296875000023,0.5118267132021587,9.062575051329873,7,muito_forte,Sétimo,984.4176
4691,34.60836181640627,0.4827873821782902,3.8765038426079528,6,forte,Sexto,986.3858
4693,33.24703369140627,0.4800014158019119,2.701734248684969,5,forte,Quinto,985.0988
4784,26.223779296875023,0.5193647622394996,13.057084647255888,5,forte,Quinto,992.1697
5041,19.60347900390628,0.519555405450894,14.804351244245066,5,forte,Quinto,995.4228
5042,16.826989746093773,0.5118042044455388,14.863702547962482,5,muito_forte,Quinto,995.4413
5043,16.900018310546898,0.5118482846868241,15.278161992709347,5,muito_forte,Quinto,996.20734
5044,17.189691162109398,0.51052145794042,15.611025778046253,5,forte,Quinto,996.9809
5045,17.699304199218773,0.5086366634154474,15.273447644088868,5,forte,Quinto,997.398
5046,18.732934570312523,0.5059712185279781,14.788095080620916,5,forte,Quinto,997.7872
5052,19.073022460937523,0.5187848958444076,13.858476017126371,5,forte,Quinto,995.7078
5057,18.922448730468773,0.5168605358328784,13.575010400528715,5,forte,Quinto,996.2097
5058,18.74630126953128,0.5160567658109434,14.212933474235374,5,forte,Quinto,996.1631
5059,18.330438232421898,0.5165575460644043,15.801242536241437,5,forte,Quinto,995.6594
5060,17.613000488281273,0.5167365606800302,16.19666121359451,5,forte,Quinto,995.16766
5061,17.171014404296898,0.5155217810045637,14.843868389360228,5,muito_forte,Quinto,994.7181
5062,16.846826171875023,0.5143578773546282,14.562214897633195,5,muito_forte,Quinto,994.7316
5063,16.874841308593773,0.5127430621754683,14.829764940827628,5,muito_forte,Quinto,994.8847
5230,24.251794433593773,0.5201735225552083,4.148451666403682,1,forte,Primeiro,986.8717
5231,23.775415039062523,0.5225056600941129,4.81828795050747,1,forte,Primeiro,987.5516
5239,35.87117919921877,0.4710532827078345,6.056182532718499,6,forte,Sexto,984.1833
5240,35.46029052734377,0.4705030707018138,5.911585878234425,6,forte,Sexto,983.6053
5241,34.89028320312502,0.4682288536639499,5.604038983666137,6,forte,Sexto,982.5812
5318,30.72750244140628,0.5052660720442663,6.344964809025282,2,forte,Segundo,985.6967
5319,28.114526367187523,0.5149112219369937,6.587816264156679,2,forte,Segundo,985.9697
5330,15.734033203125025,0.5072752408802043,6.6824529005507705,5,forte,Quinto,995.3392
5351,15.820550537109398,0.5057155945676527,6.658911329795655,5,forte,Quinto,994.6456
5402,17.763696289062523,0.515762421562331,4.6721382747668025,5,forte,Quinto,994.2091
5421,19.379785156250023,0.5032003556430303,6.4441076330715505,5,forte,Quinto,993.4175
5422,18.685815429687523,0.5082514382047619,5.7792608550931215,5,muito_forte,Quinto,993.71375
5423,18.337548828125023,0.5113994629039237,4.768630519533529,5,muito_forte,Quinto,993.7691
5520,25.880700683593773,0.4940202648196765,2.4091173401837196,3,forte,Terceiro,981.92234
5521,25.115014648437523,0.5077491814517872,3.969882010129591,2,forte,Segundo,982.5139
5532,24.338037109375023,0.510363335013902,5.331198544696143,2,forte,Segundo,982.9549
5534,32.47927246093752,0.4656007385561225,2.6079186922014737,6,forte,Sexto,979.3195
5537,23.889184570312523,0.5126868301357157,5.661306574937297,1,forte,Primeiro,982.73945
5539,23.322412109375023,0.5186270600573988,5.408891610991948,1,forte,Primeiro,982.5011
5542,22.522607421875023,0.5195853373702538,7.44518061232626,8,forte,Oitavo,981.98266
5543,22.47115478515628,0.5225275325403993,7.348343228587146,8,forte,Oitavo,982.39734
5793,38.17006835937502,0.4888355782434534,7.814743167289879,5,muito_forte,Quinto,986.1132
5794,37.47344360351565,0.4847670341764814,7.622532466586829,5,muito_forte,Quinto,984.5391
5795,39.74636230468752,0.4678947305421254,5.606855620280801,6,muito_forte,Sexto,982.5645
5797,36.35225830078127,0.4734191170606212,3.4925710820104756,7,forte,Sétimo,982.7289
5822,28.429345703125023,0.5023894131394729,6.479326705170556,1,forte,Primeiro,982.852
5824,25.68941650390628,0.5183149999449307,10.532776573951324,1,forte,Primeiro,984.0076
5891,32.24602661132815,0.4918957180510449,10.419006276724522,8,forte,Oitavo,984.8789
5921,20.032403564453148,0.5237875042095849,5.758708583032673,3,forte,Terceiro,992.02266
5922,19.56270751953128,0.5244721252998313,6.539673960659319,3,forte,Terceiro,991.7595
5923,19.0532165527344,0.5262969482482821,6.983241845849176,3,forte,Terceiro,991.4716
5924,18.65938720703128,0.5280311693236603,7.019222966928591,3,forte,Terceiro,991.4392
5925,18.520776367187523,0.5292641171887285,5.950481363977253,4,forte,Quarto,991.512
6078,28.476647949218773,0.5201003798227372,7.207438910745243,8,forte,Oitavo,990.7757
6079,28.973901367187523,0.5172130592955556,6.194612903641101,8,forte,Oitavo,990.8103
6187,19.66890869140628,0.5264769686245836,7.313724676613038,5,forte,Quinto,994.9096
