,skinTemp,RH,windspeed,windquad,UHIp,windquad_cat,surface_pressure,NDVI
4507,39.18996582031252,0.4225230440235902,14.63298640654619,1,muito_forte,Primeiro,99171.36,0.24803264
4508,39.66958007812502,0.4200268120346509,14.049206684859303,1,muito_forte,Primeiro,99097.99,0.24803264
4509,39.35500488281252,0.4191815980762188,12.678494461849112,1,muito_forte,Primeiro,99015984.0,0.24803264
4510,38.01137695312502,0.4217552130942596,10.81088998645488,1,muito_forte,Primeiro,98976.87,0.24803264
4511,35.75228271484377,0.4303581689678026,7.260554551122412,1,forte,Primeiro,98970.81,0.24803264
4512,32.44991455078127,0.443186016165641,4.955603417346571,1,forte,Primeiro,99009.0,0.24803264
4513,21.729089355468773,0.4779803693834258,8.705078080691461,1,forte,Primeiro,99101.36,0.24803264
4514,21.315698242187523,0.4775351191969137,8.858757020820589,1,forte,Primeiro,99100.89,0.24803264
4515,37.6895690917969,0.4276670032074992,5.551770935989208,2,forte,Segundo,99511984.0,0.24772665
4516,40.14425048828127,0.415768693013801,8.185550150491746,2,forte,Segundo,99411.81,0.24772665
4517,40.93148193359377,0.4014619156637456,9.481479408646049,1,forte,Primeiro,99307.25,0.24772665
4518,40.45195922851565,0.3955766948358443,9.259906276639633,1,forte,Primeiro,99173875.0,0.24772665
4519,38.9138122558594,0.3916821266127217,8.145338596095101,1,forte,Primeiro,99133.09,0.24772665
4520,36.31575927734377,0.401635423768487,5.132066662371939,1,forte,Primeiro,99114.32,0.24772665
4521,25.065209960937523,0.4456221532301117,7.071815281860685,2,forte,Segundo,99155.8,0.24772665
4522,36.72432861328127,0.4846319284125872,8.003196036125672,5,forte,Quinto,98622.83,0.24927656
4523,35.32521972656252,0.4635461039775255,8.763391643413192,5,forte,Quinto,98576.95,0.24927656
4524,33.91286621093752,0.4691296743772309,7.823910334551006,5,forte,Quinto,98491.29,0.24927656
4525,36.4815612792969,0.4467041976077401,8.350494879577555,2,forte,Segundo,99053.36,0.24437705
4526,35.97747192382815,0.4453854244386581,7.816340421681109,2,forte,Segundo,98944.36,0.24437705
4527,36.00466308593752,0.4432387471415184,7.155207541170004,2,forte,Segundo,98851766.0,0.24437705
4528,35.26204833984377,0.4373740915251305,6.489507847287805,2,forte,Segundo,98794.55,0.24437705
4529,33.99868164062502,0.439426138463203,4.726299397598121,2,forte,Segundo,98798.41,0.24437705
